Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Stop_1,Stop_2
IndiGo,24-03-2019,Banglore,New Delhi,BLR > DEL,22:20,22-03-2025 01:10,2h 50m,0,No info,3897,BLR,#VALUE!
Air India,01-05-2019,Kolkata,Banglore,CCU > IXR > BBI > BLR,5:50,13:15,7h 25m,1,No info,7662,CCU,IXR
Jet Airways,09-06-2019,Delhi,Cochin,DEL > LKO > BOM > COK,9:25,10-06-2025 04:25,19h,1,No info,13882,DEL,LKO
IndiGo,12-05-2019,Kolkata,Banglore,CCU > NAG > BLR,18:05,23:30,5h 25m,1,No info,6218,CCU,NAG
IndiGo,01-03-2019,Banglore,New Delhi,BLR > NAG > DEL,16:50,21:35,4h 45m,1,No info,13302,BLR,NAG
SpiceJet,24-06-2019,Kolkata,Banglore,CCU > BLR,9:00,11:25,2h 25m,0,No info,3873,CCU,#VALUE!
Jet Airways,12-03-2019,Banglore,New Delhi,BLR > BOM > DEL,18:55,13-03-2025 10:25,15h 30m,1,In-flight meal not included,11087,BLR,BOM
Jet Airways,01-03-2019,Banglore,New Delhi,BLR > BOM > DEL,8:00,02-03-2025 05:05,21h 5m,1,No info,22270,BLR,BOM
Jet Airways,12-03-2019,Banglore,New Delhi,BLR > BOM > DEL,8:55,13-03-2025 10:25,25h 30m,1,In-flight meal not included,11087,BLR,BOM
Multiple carriers,27-05-2019,Delhi,Cochin,DEL > BOM > COK,11:25,19:15,7h 50m,1,No info,8625,DEL,BOM
Air India,01-06-2019,Delhi,Cochin,DEL > BLR > COK,9:45,23:00,13h 15m,1,No info,8907,DEL,BLR
IndiGo,18-04-2019,Kolkata,Banglore,CCU > BLR,20:20,22:55,2h 35m,0,No info,4174,CCU,#VALUE!
Air India,24-06-2019,Chennai,Kolkata,MAA > CCU,11:40,13:55,2h 15m,0,No info,4667,MAA,#VALUE!
Jet Airways,09-05-2019,Kolkata,Banglore,CCU > BOM > BLR,21:10,10-05-2025 09:20,12h 10m,1,In-flight meal not included,9663,CCU,BOM
IndiGo,24-04-2019,Kolkata,Banglore,CCU > BLR,17:15,19:50,2h 35m,0,No info,4804,CCU,#VALUE!
Air India,03-03-2019,Delhi,Cochin,DEL > AMD > BOM > COK,16:40,04-03-2025 19:15,26h 35m,1,No info,14011,DEL,AMD
SpiceJet,15-04-2019,Delhi,Cochin,DEL > PNQ > COK,8:45,13:15,4h 30m,1,No info,5830,DEL,PNQ
Jet Airways,12-06-2019,Delhi,Cochin,DEL > BOM > COK,14:00,13-06-2025 12:35,22h 35m,1,In-flight meal not included,10262,DEL,BOM
Air India,12-06-2019,Delhi,Cochin,DEL > CCU > BOM > COK,20:15,13-06-2025 19:15,23h,1,No info,13381,DEL,CCU
Jet Airways,27-05-2019,Delhi,Cochin,DEL > BOM > COK,16:00,28-05-2025 12:35,20h 35m,1,In-flight meal not included,12898,DEL,BOM
GoAir,06-03-2019,Delhi,Cochin,DEL > BOM > COK,14:10,19:20,5h 10m,1,No info,19495,DEL,BOM
Air India,21-03-2019,Banglore,New Delhi,BLR > COK > DEL,22:00,19-03-2025 13:20,15h 20m,1,No info,6955,BLR,COK
IndiGo,03-04-2019,Banglore,Delhi,BLR > DEL,4:00,6:50,2h 50m,0,No info,3943,BLR,#VALUE!
IndiGo,01-05-2019,Banglore,Delhi,BLR > DEL,18:55,21:50,2h 55m,0,No info,4823,BLR,#VALUE!
Jet Airways,06-05-2019,Kolkata,Banglore,CCU > BOM > BLR,18:55,07-05-2025 08:15,13h 20m,1,In-flight meal not included,7757,CCU,BOM
Jet Airways,09-06-2019,Delhi,Cochin,DEL > IDR > BOM > COK,21:25,10-06-2025 12:35,15h 10m,1,No info,13292,DEL,IDR
IndiGo,01-06-2019,Delhi,Cochin,DEL > LKO > COK,21:50,02-06-2025 03:35,5h 45m,1,No info,8238,DEL,LKO
GoAir,15-05-2019,Delhi,Cochin,DEL > BOM > COK,7:00,12:55,5h 55m,1,No info,7682,DEL,BOM
Vistara,18-06-2019,Banglore,Delhi,BLR > DEL,9:45,12:35,2h 50m,0,No info,4668,BLR,#VALUE!
Vistara,15-06-2019,Chennai,Kolkata,MAA > CCU,7:05,9:20,2h 15m,0,No info,3687,MAA,#VALUE!
Vistara,18-06-2019,Chennai,Kolkata,MAA > CCU,7:05,9:20,2h 15m,0,No info,3687,MAA,#VALUE!
Air India,01-05-2019,Kolkata,Banglore,CCU > GAU > DEL > BLR,9:50,23:15,13h 25m,1,No info,13227,CCU,GAU
IndiGo,06-04-2019,Banglore,Delhi,BLR > DEL,4:00,6:50,2h 50m,0,No info,4423,BLR,#VALUE!
Jet Airways,15-06-2019,Delhi,Cochin,DEL > NAG > BOM > COK,14:35,16-06-2025 12:35,22h,1,In-flight meal not included,10919,DEL,NAG
Jet Airways,18-05-2019,Delhi,Cochin,DEL > BOM > COK,7:05,12:35,5h 30m,1,In-flight meal not included,12373,DEL,BOM
